run,log_dir,accuracy,first_five_coverage,coverage,input_tokens,output_tokens
1,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_000339,98.11111111111111,98.2,100.0,41694,60764
2,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_000727,98.95833333333333,96.75,99.0,41630,61580
3,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_000826,93.57843137254902,97.2,100.0,41550,58788
4,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_000924,95.58441558441558,98.2,100.0,41616,70163
5,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_001030,97.41071428571429,96.85,99.0,41710,59356
6,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_001136,99.6875,96.4,99.0,41567,67068
7,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_001241,98.92045454545455,96.2,100.0,41668,86870
8,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_001442,98.33333333333334,97.85,99.0,41483,51798
9,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_001534,97.18253968253967,96.75,99.0,41602,70538
10,/home/thanhnv/PycharmProjects/30llm/logs/QAagent-humaneval-nvidia_nemotron-3-nano-30b-a3b-20260114_001721,98.75,96.0,99.0,41666,59173
aggregate,,97.6516833248451,97.03999999999999,99.4,416186,646098
